scraper      team           keyword          time                        number          
bingScraper  Bradford Lane  medical service  2017-07-24 17:49:21.547360  page: 10
bingScraper  Bradford Lane  medical service  2017-07-24 17:49:31.970858  page: 10
bingScraper  Crescent Peak  medical service  2017-07-24 17:50:03.650776  page: 1
googleScraper  Arden Bay  medical service  2017-07-24 17:54:29.293590  number of urls: 10
googleScraper  Crescent Peak  medical service  2017-07-24 17:56:34.730954  number of urls: 10
bingScraper  Arden Bay  medical service  2017-07-24 18:54:42.151320  page: 1
bingScraper  Arden Bay  medical service  2017-07-24 18:55:49.132962  page: 10
bingScraper  Bradford Lane  medical service  2017-07-24 18:57:04.885218  page: 10
bingScraper  Arden Bay  medical service  2017-07-24 18:58:47.849830  page: 10
bingScraper  Bradford Lane  medical service  2017-07-24 19:00:05.271128  page: 10
bingScraper  Arden Bay  medical service  2017-07-24 19:00:05.736197  page: 10
bingScraper  Servan & Co  drill pipe threading company  2017-07-25 13:30:03.262775  page: 10
bingScraper  Servan & Co  drill pipe threading company, drill pipe threading services  2017-07-25 13:49:13.897473  page: 10
bingScraper  Oakbourne  geospatial lidar services  2017-07-25 14:19:46.585019  page: 10
bingScraper  Oakbourne  geospatial lidar services  2017-07-25 14:26:58.106646  page: 10
bingScraper  Oakbourne  geospatial lidar services, geospatial photogrammetry services  2017-07-25 15:11:50.102544  page: 10
bingScraper  Klaxon  off-site electrostatic air filitration service, electrostatic air filitration service, electrostatic collector services  2017-07-25 15:18:48.961825  page: 10
bingScraper  Klaxon  window cleaning service, window washing service, commercial window cleaning, high rise window cleaning  2017-07-25 15:23:10.875222  page: 10
bingScraper  Oakbourne  geospatial lidar services, geospatial photogrammetry services  2017-07-25 15:24:31.284015  page: 10
bingScraper  Estes Point  trash valet, doorstep trash  2017-07-25 15:27:52.837597  page: 10
bingScraper  Monan  drill pipe threading company, drill pipe services, tubular threading company, tubular services API, drill pipe thread API  2017-07-25 15:29:47.780438  page: 10
bingScraper  Monan  drill pipe threading company, drill pipe services, tubular threading company, tubular services API, drill pipe thread API  2017-07-25 15:32:24.760183  page: 10
bingScraper  Klaxon  window cleaning service, window washing service, commercial window cleaning, high rise window cleaning  2017-07-25 15:35:28.616787  page: 10
bingScraper  Oakbourne  remote sensing llc  2017-07-25 15:36:38.878573  page: 10
bingScraper  Estes Point  trash valet, doorstep trash  2017-07-25 15:36:46.047835  page: 10
bingScraper  Klaxon  window cleaning service, window washing service, commercial window cleaning, high rise window cleaning  2017-07-25 15:37:56.152977  page: 10
bingScraper  Monan  drill pipe threading company, drill pipe services, tubular threading company, tubular services API, drill pipe thread API  2017-07-25 15:37:56.153564  page: 10
bingScraper  Klaxon  window cleaning service, window washing service, commercial window cleaning, high rise window cleaning  2017-07-25 15:40:03.051544  page: 10
